,index,Instance, Product/Description, Migrations, SumStartingInstance, DaysStartingInstance, SumMigrations, DaysMigrations, Difference
181,892,m5dn.4xlarge, SUSE Linux,8,3077.336899999999,204,1411.8516999999972,204,1665.4852000000012
182,873,m5ad.16xlarge, SUSE Linux,10,7115.422600000001,213,5518.942999999989,213,1596.4796000000115
183,590,p2.8xlarge, Windows,35,35973.667,396,34398.5616000002,396,1575.1053999998041
184,825,r5n.12xlarge, SUSE Linux,5,4744.295699999999,204,3171.76470000001,204,1572.5309999999881
185,918,g4dn.16xlarge, SUSE Linux,17,9009.7407,224,7446.164400000002,224,1563.576299999998
186,28,r5.12xlarge, SUSE Linux,29,8888.766900000004,396,7339.9602000000195,396,1548.8066999999853
187,895,m5dn.12xlarge, SUSE Linux,5,4570.515100000001,204,3067.559700000015,204,1502.9553999999862
188,744,m5a.4xlarge, Red Hat Enterprise Linux,38,3718.1662,325,2234.815299999993,325,1483.3509000000067
189,910,g4dn.12xlarge, SUSE Linux,19,8187.407599999999,224,6720.300200000044,224,1467.1073999999546
190,256,i3en.24xlarge, Windows,22,66318.7429,359,64864.17599999982,359,1454.5669000001874
191,901,r5dn.12xlarge, SUSE Linux,8,4633.3101000000015,204,3192.3400000000115,204,1440.9700999999911
192,457,c5.4xlarge, Red Hat Enterprise Linux,51,3587.430600000001,329,2200.6453000000006,329,1386.7853
193,870,m5ad.4xlarge, SUSE Linux,26,4453.5485,396,3074.4221000000102,396,1379.1263999999896
194,526,r3.4xlarge, Red Hat Enterprise Linux,27,3591.827400000001,329,2214.752600000005,329,1377.0747999999967
195,797,r4.4xlarge, Red Hat Enterprise Linux,34,3707.7182999999986,329,2364.5525999999986,329,1343.1657
196,151,c5n.4xlarge, Red Hat Enterprise Linux,24,3413.0802,324,2082.1652000000045,324,1330.9149999999956
197,274,i3.metal, Red Hat Enterprise Linux,9,13813.205999999987,324,12482.572400000046,324,1330.633599999941
198,723,r5dn.8xlarge, Windows,13,9965.089300000003,204,8658.183199999987,204,1306.9061000000165
199,598,c4.4xlarge, Red Hat Enterprise Linux,89,3465.5696,329,2164.361799999998,329,1301.207800000002
200,422,r5ad.xlarge, Windows,25,3529.2728999999986,396,2229.367800000001,396,1299.9050999999981
201,738,c5d.4xlarge, Red Hat Enterprise Linux,52,3437.0214,325,2147.546700000002,325,1289.474699999998
202,601,r5ad.xlarge, Linux/UNIX,24,1779.706600000001,396,501.8829999999992,396,1277.8236000000015
203,156,m5.4xlarge, Red Hat Enterprise Linux,63,3716.2407,329,2443.419399999999,329,1272.821300000001
204,528,c3.8xlarge, Red Hat Enterprise Linux,13,5681.418000000001,328,4455.608200000011,328,1225.80979999999
205,641,z1d.6xlarge, Red Hat Enterprise Linux,21,7346.8696,325,6134.827900000036,325,1212.0416999999645
206,238,i3.2xlarge, Red Hat Enterprise Linux,36,3628.512500000001,329,2421.766400000008,329,1206.7460999999942
207,493,r5ad.2xlarge, Windows,24,5757.220099999999,396,4556.647199999988,396,1200.572900000011
208,939,z1d.6xlarge, SUSE Linux,27,8514.9593,396,7334.529800000025,396,1180.4294999999765
209,599,r5a.4xlarge, Red Hat Enterprise Linux,21,3452.1052,325,2277.028400000007,325,1175.076799999993
210,615,z1d.6xlarge, Linux/UNIX,25,7463.009299999998,396,6290.513699999958,396,1172.4956000000411
211,495,r5ad.2xlarge, Linux/UNIX,31,2257.569800000001,396,1086.9201000000014,396,1170.6496999999993
212,911,c5n.9xlarge, SUSE Linux,26,6562.594900000005,396,5403.593200000024,396,1159.0016999999807
213,727,r5dn.8xlarge, Red Hat Enterprise Linux,12,3412.3146,204,2275.099499999996,204,1137.2151000000035
214,149,c5n.4xlarge, Linux/UNIX,21,2532.7267,396,1397.1038999999987,396,1135.6228000000015
215,110,c5n.4xlarge, Windows,13,9424.875100000003,396,8295.966900000007,396,1128.908199999998
216,739,m5a.8xlarge, SUSE Linux,16,4877.1302,309,3748.849099999994,309,1128.2811000000054
217,722,r5dn.8xlarge, Linux/UNIX,12,2777.3946,204,1656.5595000000033,204,1120.8350999999964
218,880,r5d.8xlarge, SUSE Linux,20,4995.596000000001,309,3884.175800000007,309,1111.420199999994
219,842,r5n.8xlarge, SUSE Linux,14,3367.2736000000004,204,2257.9721000000004,204,1109.3015
220,823,r5dn.8xlarge, SUSE Linux,14,3367.3946,204,2269.2003000000004,204,1098.1942999999997
221,75,m4.10xlarge, SUSE Linux,33,6830.9372,396,5750.351899999987,396,1080.5853000000143
222,84,m4.4xlarge, Red Hat Enterprise Linux,76,3497.5426,329,2417.3624000000023,329,1080.180199999998
223,869,m5ad.2xlarge, SUSE Linux,47,3167.3794,396,2087.407600000005,396,1079.9717999999943
224,8,f1.2xlarge, Red Hat Enterprise Linux,13,5893.9385,324,4816.049999999998,324,1077.8885000000012
225,639,z1d.6xlarge, Windows,14,17743.17700000001,396,16677.617099999923,396,1065.5599000000875
226,2,f1.2xlarge, SUSE Linux,9,6693.848500000003,396,5635.535,396,1058.313500000002
227,719,r5dn.2xlarge, Windows,6,3252.5111,204,2195.9837000000084,204,1056.5273999999918
228,1032,r5dn.2xlarge, Red Hat Enterprise Linux,4,2094.631199999999,204,1040.0341999999982,204,1054.5970000000002
229,13,f1.2xlarge, Linux/UNIX,9,5743.548499999997,396,4689.635000000033,396,1053.913499999965
230,1031,r5dn.2xlarge, Linux/UNIX,4,1458.931199999999,204,408.6241999999981,204,1050.3070000000012
231,985,m5dn.2xlarge, Windows,4,3220.2798000000007,204,2176.480500000001,204,1043.7992999999992
232,831,r5a.8xlarge, SUSE Linux,16,4905.747299999999,309,3892.095200000008,309,1013.6520999999916
233,403,c5.18xlarge, Linux/UNIX,148,8955.7385,396,7947.177099999982,396,1008.561400000016
234,100,r5.8xlarge, SUSE Linux,28,4866.514900000002,309,3877.3870999999976,309,989.1278000000044
235,336,i2.4xlarge, SUSE Linux,15,11596.8717,396,10612.198999999991,396,984.6727000000084
236,347,i2.4xlarge, Linux/UNIX,11,10647.3717,396,9686.070899999937,396,961.3008000000647
237,903,r5ad.xlarge, SUSE Linux,26,2503.36,396,1543.522700000005,396,959.8372999999948
238,957,r5ad.8xlarge, Windows,11,10874.226599999998,213,9951.48099999999,213,922.7456000000057
239,800,m5ad.2xlarge, Red Hat Enterprise Linux,38,2584.5388000000007,325,1665.8008000000034,325,918.7379999999972
240,168,d2.2xlarge, Red Hat Enterprise Linux,14,5068.6479999999965,325,4158.873200000009,325,909.7747999999884
241,258,i3en.24xlarge, SUSE Linux,24,29506.564299999995,359,28608.151400000184,359,898.4128999998102
242,269,i3.metal, Windows,6,42920.42189999998,396,42027.104000000116,396,893.3178999998709
243,392,m5d.4xlarge, Linux/UNIX,56,2614.82,396,1754.5142000000021,396,860.3057999999977
244,374,i2.2xlarge, Red Hat Enterprise Linux,13,5755.166000000004,325,4899.022200000008,325,856.1437999999962
245,584,p2.xlarge, Red Hat Enterprise Linux,63,3410.9931,325,2558.351600000008,325,852.6414999999914
246,155,m5.4xlarge, SUSE Linux,47,3925.7016,396,3079.6146999999987,396,846.0869000000017
247,923,g4dn.8xlarge, SUSE Linux,24,4845.257299999998,224,4012.2151999999774,224,833.042100000021
248,774,r5d.4xlarge, Red Hat Enterprise Linux,48,3155.642899999998,325,2329.840599999997,325,825.8023000000017
249,670,c5d.2xlarge, Red Hat Enterprise Linux,36,2382.9675,325,1565.3764999999923,325,817.5910000000073
250,255,i3en.24xlarge, Linux/UNIX,22,28543.364299999994,359,27747.481999999916,359,795.8823000000739
251,716,m5a.2xlarge, Red Hat Enterprise Linux,35,2423.2115,325,1629.9869000000022,325,793.224599999998
252,430,c4.8xlarge, SUSE Linux,38,5400.475699999997,396,4613.162900000002,396,787.3127999999951
253,135,c5n.2xlarge, Linux/UNIX,35,1566.6713,396,785.8617000000003,396,780.8095999999997
254,456,c5.2xlarge, Red Hat Enterprise Linux,94,2358.6822999999995,329,1595.1037999999985,329,763.5785000000011
255,859,r5ad.16xlarge, Windows,11,20654.58159999999,213,19895.966999999982,213,758.6146000000044
256,664,r5d.metal, Windows,18,48316.71980000002,396,47561.07260000032,396,755.6471999997011
257,718,r4.2xlarge, Red Hat Enterprise Linux,37,2371.267500000001,329,1640.5456000000077,329,730.7218999999934
258,257,i3en.24xlarge, Red Hat Enterprise Linux,24,26293.4036,324,25565.86730000014,324,727.536299999858
259,271,i3.metal, SUSE Linux,7,15812.7583,396,15110.250399999868,396,702.5079000001315
260,467,m5d.24xlarge, Windows,14,51072.5952,396,50372.87139999999,396,699.7238000000142
261,106,m5.2xlarge, Red Hat Enterprise Linux,61,2374.269300000001,329,1676.1132999999998,329,698.1560000000011
262,925,c5n.4xlarge, SUSE Linux,29,3585.0576999999994,396,2893.653599999988,396,691.404100000012
263,273,i3.metal, Linux/UNIX,5,14862.458299999993,396,14173.53599999997,396,688.9223000000238
264,464,c5.4xlarge, SUSE Linux,50,3552.9734,396,2865.060300000001,396,687.9130999999983
265,612,m5d.metal, Windows,14,48027.85900000001,396,47342.038999999866,396,685.8200000001525
266,1027,r5dn.2xlarge, SUSE Linux,8,1702.1062,204,1020.718200000001,204,681.3879999999989
267,581,p3dn.24xlarge, Windows,8,130961.31840000002,396,130282.91099999964,396,678.4074000003892
268,153,c5n.2xlarge, Red Hat Enterprise Linux,30,2260.0158999999994,325,1581.816699999996,325,678.1992000000033
269,513,r3.2xlarge, Red Hat Enterprise Linux,46,2304.0432,329,1629.7430999999995,329,674.3001000000004
270,427,r5.4xlarge, SUSE Linux,27,3879.668,310,3210.837799999999,396,668.8302000000008
271,90,m4.2xlarge, Red Hat Enterprise Linux,41,2307.8345,329,1639.3796000000002,329,668.4548999999997
272,552,p3.16xlarge, Windows,8,97766.86400000005,396,97098.48069999916,396,668.3833000008744
273,636,c4.2xlarge, Red Hat Enterprise Linux,135,2249.023100000001,329,1593.1682999999996,329,655.8548000000005
274,291,m2.2xlarge, Red Hat Enterprise Linux,21,1492.2017999999996,328,850.0493999999974,328,642.1524000000023
275,699,m5ad.16xlarge, Windows,16,20384.3724,213,19761.72110000005,213,622.6512999999542
276,388,m5d.4xlarge, Red Hat Enterprise Linux,54,3077.8795000000014,325,2459.4554999999978,325,618.4240000000033
277,539,c3.4xlarge, Red Hat Enterprise Linux,14,3353.472000000001,329,2736.2879000000157,329,617.1840999999849
278,447,r5d.2xlarge, Red Hat Enterprise Linux,31,2287.6221,325,1673.4709999999989,325,614.1511000000007
279,920,c5n.2xlarge, SUSE Linux,34,2619.0213,396,2005.3386999999946,396,613.6826000000057
280,423,z1d.2xlarge, Red Hat Enterprise Linux,18,3313.4261,325,2700.8712999999852,325,612.554800000014
281,518,m5n.2xlarge, Windows,5,2783.0222000000012,204,2171.183900000001,204,611.8383000000002
282,417,r5.24xlarge, Windows,13,51484.6072,396,50879.38439999992,396,605.2228000000832
283,791,m5.metal, Windows,14,47936.87800000001,396,47337.59869999986,396,599.2793000001475
284,251,i3.xlarge, Red Hat Enterprise Linux,20,1776.3322999999993,329,1179.331600000008,329,597.0006999999916
285,483,r5d.24xlarge, Windows,14,51457.98120000002,396,50867.181099999754,396,590.8001000002622
286,97,m5.24xlarge, Windows,12,51002.73580000001,396,50422.80969999999,396,579.9261000000188
287,753,r5a.2xlarge, Red Hat Enterprise Linux,37,2211.5502,325,1642.1048000000064,325,569.4453999999937
288,115,t2.2xlarge, Red Hat Enterprise Linux,17,2427.447600000001,329,1864.5483999999915,329,562.8992000000094
289,1030,m5n.4xlarge, SUSE Linux,9,1968.504,204,1411.8626999999976,204,556.6413000000023
290,702,c5d.18xlarge, Windows,14,37970.94219999998,396,37439.49299999994,396,531.4492000000464
291,1023,g3s.xlarge, Red Hat Enterprise Linux,28,2712.8526,325,2185.8118999999947,325,527.0407000000059
292,884,r5a.4xlarge, SUSE Linux,22,3675.2529000000013,396,3149.1099,396,526.1430000000014
293,402,m5d.2xlarge, Red Hat Enterprise Linux,52,2144.1188,326,1619.1156,326,525.0032000000001
294,281,t3.2xlarge, Red Hat Enterprise Linux,22,2287.545600000001,329,1764.5423000000117,329,523.0032999999888
295,602,r5ad.large, Windows,21,1652.0470999999998,396,1130.6138999999973,396,521.4332000000023
296,638,r5ad.large, Linux/UNIX,19,781.8360000000004,396,263.4656999999998,396,518.3703000000005
297,605,z1d.3xlarge, Windows,15,8841.912800000006,396,8326.230899999962,396,515.6819000000431
298,51,r4.8xlarge, SUSE Linux,22,5498.316999999999,310,4993.202499999991,396,505.11450000000883
299,887,m5a.4xlarge, SUSE Linux,26,3575.2813,396,3070.260500000012,396,505.0207999999875
300,551,a1.4xlarge, Red Hat Enterprise Linux,11,2106.469200000001,324,1602.8798999999924,324,503.58930000000834
301,967,r5d.16xlarge, Windows,14,26785.012699999974,309,26294.054999999826,309,490.9577000001518
302,148,c5n.2xlarge, Windows,14,4715.675100000002,396,4232.176799999983,396,483.4983000000193
303,576,r5.2xlarge, Red Hat Enterprise Linux,76,2167.8962,326,1684.796599999999,326,483.0996000000012
304,878,r5d.4xlarge, SUSE Linux,42,3676.7167000000013,396,3193.810700000003,396,482.9059999999981
305,197,i3.4xlarge, SUSE Linux,23,4927.244500000002,396,4445.1506000000045,396,482.0938999999962
306,936,z1d.3xlarge, SUSE Linux,19,4651.676599999999,396,4175.032999999989,396,476.64360000000937
307,306,g4dn.16xlarge, Windows,17,22796.9174,224,22322.484199999966,224,474.4332000000322
308,353,i2.xlarge, Red Hat Enterprise Linux,14,2895.5392,326,2422.6927999999953,326,472.8464000000049
309,917,g4dn.4xlarge, SUSE Linux,38,2976.386100000001,224,2504.340599999997,224,472.04550000000336
310,706,m5ad.16xlarge, Red Hat Enterprise Linux,8,6041.7333,213,5571.346500000002,213,470.3867999999984
311,805,c5.xlarge, Red Hat Enterprise Linux,52,1231.9152,329,762.7179999999989,329,469.19720000000086
312,1029,m5n.4xlarge, Red Hat Enterprise Linux,7,1877.558,204,1408.382799999993,204,469.17520000000695
313,1028,m5n.4xlarge, Linux/UNIX,7,1242.1180000000004,204,776.9728000000035,204,465.14519999999663
314,387,m5d.4xlarge, SUSE Linux,53,3518.0592,396,3053.8919000000087,396,464.16729999999137
315,704,m5ad.16xlarge, Linux/UNIX,8,5379.123300000003,213,4914.976500000003,213,464.1467999999995
316,246,i3en.12xlarge, Red Hat Enterprise Linux,27,13682.155900000002,324,13218.266900000051,324,463.88899999994834
317,620,z1d.3xlarge, Linux/UNIX,18,3601.926599999997,396,3139.991499999979,396,461.93510000001885
318,141,c5n.18xlarge, Linux/UNIX,28,6917.788200000003,396,6456.8469999999415,396,460.9412000000602
319,875,m5ad.xlarge, SUSE Linux,26,1955.1686,396,1496.3739,396,458.7946999999997
320,748,r5a.12xlarge, Windows,20,26177.824799999995,396,25719.794400000224,396,458.0303999997705
321,208,i3.4xlarge, Linux/UNIX,25,3977.2445,396,3522.081799999992,396,455.162700000008
322,39,d2.xlarge, Red Hat Enterprise Linux,12,2499.305999999999,326,2047.7345999999866,326,451.57140000001215
323,683,r5.16xlarge, Windows,14,26782.512699999974,309,26333.385699999824,309,449.1270000001532
324,697,r5a.24xlarge, Windows,20,51459.58929999999,396,51011.56100000045,396,448.02829999953974
325,142,r4.4xlarge, SUSE Linux,23,3499.4612,396,3054.2315000000012,396,445.2296999999994
326,1001,r5n.2xlarge, Red Hat Enterprise Linux,11,1479.0386999999994,204,1039.5727999999988,204,439.46590000000083
327,131,c5n.18xlarge, Windows,12,37970.94219999998,396,37533.122299999945,396,437.81990000004583
328,606,m5d.metal, Linux/UNIX,72,7400.5498,396,6963.072499999987,396,437.4773000000141
329,461,x1e.2xlarge, Red Hat Enterprise Linux,19,5248.7,325,4811.811700000035,325,436.88829999996506
330,1002,r5n.2xlarge, Linux/UNIX,11,843.8586999999999,204,408.55279999999834,204,435.3059000000016
331,931,i3en.12xlarge, SUSE Linux,31,15190.544700000004,359,14755.435399999931,359,435.1093000000746
332,696,m5.xlarge, Red Hat Enterprise Linux,88,1211.8238,329,780.6598999999997,329,431.1639000000005
333,459,x1e.2xlarge, SUSE Linux,20,6049.789200000003,396,5621.379699999987,396,428.4095000000169
334,798,c5d.metal, Windows,8,22541.490099999995,177,22115.992699999915,177,425.4974000000766
335,466,x1e.2xlarge, Windows,17,8561.8736,396,8139.990999999971,396,421.88260000003083
336,573,p3dn.24xlarge, Red Hat Enterprise Linux,8,73746.28480000005,324,73325.17630000006,324,421.1084999999875
337,67,g4dn.12xlarge, Windows,17,18103.523800000006,224,17683.136000000042,224,420.38779999996405
338,808,m5ad.2xlarge, Windows,23,4702.281700000001,396,4285.201499999959,396,417.08020000004217
339,609,c4.4xlarge, SUSE Linux,63,3208.350800000001,396,2794.6579999999963,396,413.69280000000435
340,64,t3.xlarge, Red Hat Enterprise Linux,32,1254.4756000000002,329,842.9382000000044,329,411.5373999999958
341,782,x1e.2xlarge, Linux/UNIX,17,5099.489199999995,396,4693.3881,396,406.10109999999617
342,796,m5ad.2xlarge, Linux/UNIX,35,1259.8628000000006,396,857.9978000000058,396,401.86499999999484
343,877,r5a.2xlarge, SUSE Linux,39,2500.0264,396,2098.5978999999993,396,401.42850000000135
344,561,p3.2xlarge, SUSE Linux,79,10178.188100000003,396,9778.403999999971,396,399.7841000000317
345,221,i3.16xlarge, Windows,11,42195.199999999975,396,41795.600000000115,396,399.59999999986763
346,997,m5dn.2xlarge, SUSE Linux,8,1402.2603999999994,204,1008.7270000000036,204,393.53339999999605
347,120,m5.16xlarge, Windows,10,26515.9219,309,26124.276399999893,309,391.64550000011144
348,759,m5ad.xlarge, Red Hat Enterprise Linux,21,1162.1618999999996,325,773.5317000000015,325,388.6301999999984
349,239,i3en.12xlarge, Linux/UNIX,29,14228.244699999996,359,13843.121199999958,359,385.1235000000361
350,616,z1d.2xlarge, Windows,16,5933.514000000003,396,5551.896999999971,396,381.61700000003196
351,549,p3.2xlarge, Linux/UNIX,80,9227.9881,396,8848.122500000016,396,379.8655999999828
352,193,c5n.xlarge, Red Hat Enterprise Linux,19,1126.9368,325,747.6755999999973,325,379.2612000000028
353,472,c5.18xlarge, Windows,12,37942.969499999985,396,37564.42569999995,396,378.5438000000431
354,827,p3dn.24xlarge, SUSE Linux,9,90071.51759999996,396,89694.29780000051,396,377.2197999994533
355,595,p3dn.24xlarge, Linux/UNIX,8,89019.0676,396,88647.04779999984,396,372.01980000015465
356,218,i3.16xlarge, SUSE Linux,43,15342.1865,396,14971.557599999875,396,370.6289000001234
357,194,m5.12xlarge, Linux/UNIX,42,5313.3906000000015,396,4943.092299999998,396,370.2983000000031
358,53,m4.16xlarge, Windows,9,33752.05420000001,396,33383.06900000023,396,368.9851999997772
359,480,m5d.16xlarge, Windows,13,26506.917500000003,309,26138.141899999886,309,368.77560000011727
360,215,i3en.6xlarge, Windows,23,16516.3551,359,16151.081199999951,359,365.2739000000474
361,212,i3.8xlarge, SUSE Linux,31,8305.424500000003,396,7940.631199999932,396,364.79330000007116
362,932,z1d.2xlarge, SUSE Linux,21,3495.8109999999997,396,3136.7325000000133,396,359.07849999998643
363,21,m4.4xlarge, SUSE Linux,54,3339.5195,396,2981.786200000004,396,357.7332999999958
364,419,z1d.2xlarge, Linux/UNIX,21,2446.1610000000005,396,2093.2881000000066,396,352.872899999994
365,807,r3.xlarge, Red Hat Enterprise Linux,27,1114.8615,329,768.4019000000044,329,346.45959999999565
366,695,r5d.metal, Linux/UNIX,32,6773.541800000001,396,6427.1815000000415,396,346.36029999995844
367,772,m5ad.8xlarge, Windows,14,10196.0256,213,9852.445500000013,213,343.5800999999883
368,316,m3.2xlarge, Red Hat Enterprise Linux,26,2249.2374,329,1907.9284000000055,329,341.30899999999434
369,91,t3a.2xlarge, Red Hat Enterprise Linux,19,1891.9007999999994,325,1553.8075999999924,325,338.09320000000685
370,651,r5d.xlarge, Red Hat Enterprise Linux,43,1103.9362999999996,325,771.0301999999963,325,332.90610000000345
371,451,c5.2xlarge, SUSE Linux,59,2232.3712,396,1899.6200999999992,396,332.75110000000063
372,793,x1.16xlarge, SUSE Linux,20,20148.724000000006,396,19815.981400000077,396,332.74259999993234
373,222,r4.xlarge, Red Hat Enterprise Linux,22,1148.4226000000006,329,816.0345999999995,329,332.38800000000083
374,720,r5a.16xlarge, Windows,17,26735.282399999982,309,26402.92729999984,309,332.35510000014256
375,994,r5n.4xlarge, Red Hat Enterprise Linux,4,1777.1764000000005,204,1446.9711000000025,204,330.20529999999803
376,558,p3.8xlarge, Windows,8,48883.43200000002,396,48554.80569999959,396,328.6263000004328
377,434,c4.xlarge, Red Hat Enterprise Linux,35,1083.9744000000003,329,755.3814999999994,329,328.5929000000009
378,995,r5n.4xlarge, Linux/UNIX,4,1142.6463999999996,204,814.7810999999957,204,327.8653000000039
379,391,r5d.12xlarge, Windows,14,25762.0032,396,25434.628700000037,396,327.37449999995806
380,654,c5d.24xlarge, Windows,8,22531.2068,177,22205.297999999915,177,325.90880000007746
381,650,m5a.xlarge, Red Hat Enterprise Linux,167,1106.7021,325,783.6392999999997,325,323.0628000000001
382,689,c5d.18xlarge, Linux/UNIX,56,7185.5807,396,6863.982200000005,396,321.5984999999955
383,170,m4.xlarge, Red Hat Enterprise Linux,56,1089.8355,329,768.3744999999979,329,321.46100000000206
384,324,m3.large, Red Hat Enterprise Linux,13,1009.3618999999997,329,688.456999999996,329,320.90490000000375
385,176,m5.12xlarge, Windows,12,25536.2976,396,25216.858699999993,396,319.4389000000083
386,543,p3.8xlarge, SUSE Linux,23,35888.175100000015,396,35569.232499999714,396,318.94260000030044
387,725,c5d.9xlarge, Windows,15,18989.9424,396,18673.8005,396,316.1418999999987
388,465,m5d.12xlarge, Windows,14,25495.994100000004,396,25180.30959999999,396,315.68450000001394
389,426,z1d.12xlarge, Windows,13,33670.022400000016,396,33355.32109999984,396,314.70130000018247
390,749,m5.metal, Linux/UNIX,37,6558.0563,396,6245.0475999999535,396,313.0087000000458
391,756,x1.32xlarge, SUSE Linux,9,38978.258999999984,396,38665.582299999885,396,312.6767000001128
392,502,c3.2xlarge, Red Hat Enterprise Linux,23,2189.5280000000007,329,1876.9146999999884,329,312.6133000000127
393,857,m5n.4xlarge, Windows,6,4660.241800000002,204,4351.480300000002,204,308.7614999999996
394,302,g4dn.8xlarge, Windows,18,11398.804499999998,224,11091.412899999983,224,307.3916000000154
395,74,g4dn.12xlarge, Red Hat Enterprise Linux,19,7107.252499999999,224,6801.323699999993,224,305.92880000000605
396,263,i3.large, Red Hat Enterprise Linux,19,1124.1632999999997,329,820.0347000000052,329,304.1285999999945
397,481,x1e.4xlarge, Windows,17,16531.883100000006,396,16227.861799999939,396,304.021300000064
398,341,i2.8xlarge, SUSE Linux,16,20536.709000000006,396,20233.036900000177,396,303.67209999982515
399,885,m5a.2xlarge, SUSE Linux,40,2363.8107,396,2067.3880000000026,396,296.42269999999735
400,1016,r5dn.xlarge, Windows,3,1389.3511,204,1096.754700000004,204,292.5963999999958
401,1021,r5dn.xlarge, Red Hat Enterprise Linux,5,786.9875,204,494.8906999999986,204,292.0968000000013
402,1020,r5dn.xlarge, Linux/UNIX,5,494.66749999999985,204,203.6506999999989,204,291.01680000000096
403,229,i3.16xlarge, Linux/UNIX,40,14391.786499999995,396,14101.391999999969,396,290.3945000000276
404,50,g4dn.12xlarge, Linux/UNIX,19,6410.062500000003,224,6120.253700000011,224,289.8087999999907
405,183,r5a.12xlarge, Linux/UNIX,18,5222.650499999997,396,4934.224500000019,396,288.4259999999776
406,49,m4.16xlarge, Linux/UNIX,51,5936.184800000001,396,5648.271399999988,396,287.9134000000131
407,253,i3en.3xlarge, Windows,24,8352.321,359,8066.463499999975,359,285.85750000002366
408,754,c5d.xlarge, Red Hat Enterprise Linux,22,1026.5539,325,744.7103999999965,325,281.84350000000364
409,610,r5ad.xlarge, Red Hat Enterprise Linux,25,1120.6274,325,839.6491000000058,325,280.9782999999941
410,305,t2.xlarge, Red Hat Enterprise Linux,22,1172.6022000000007,329,894.1072999999957,329,278.4949000000049
411,828,r5dn.xlarge, SUSE Linux,7,1027.6650999999997,204,750.4458000000004,204,277.2192999999992
412,843,m5n.2xlarge, SUSE Linux,14,1278.2961999999998,204,1003.1850000000037,204,275.1111999999962
413,1014,r5dn.large, SUSE Linux,12,794.3974000000002,204,520.828399999999,204,273.5690000000011
414,1007,r5n.2xlarge, SUSE Linux,15,1289.1607999999997,204,1018.1836000000012,204,270.97719999999845
415,562,p3.8xlarge, Linux/UNIX,24,34937.875099999976,396,34671.262200000085,396,266.61289999988367
416,673,c5d.2xlarge, SUSE Linux,49,2147.1394,396,1880.8246999999883,396,266.3147000000115
417,37,r5.12xlarge, Windows,11,25741.79739999999,396,25476.99359999999,396,264.8037999999978
418,634,m5d.xlarge, Red Hat Enterprise Linux,42,1022.2821000000004,325,757.7522000000017,325,264.5298999999985
419,544,r5a.xlarge, Red Hat Enterprise Linux,40,1040.3388,326,780.6087000000008,326,259.7300999999993
420,785,x1.32xlarge, Windows,5,93978.9682,396,93719.3529000002,396,259.61529999980115
421,555,r5a.xlarge, Windows,16,2388.0639,396,2128.7354000000096,396,259.3284999999901
422,724,r4.2xlarge, SUSE Linux,29,2211.5862,396,1953.9624000000085,396,257.62379999999143
423,484,m5d.24xlarge, Linux/UNIX,36,9406.932599999998,396,9150.73389999996,396,256.19870000003897
424,230,r5.xlarge, Red Hat Enterprise Linux,117,1034.4909,326,779.4645999999997,326,255.02630000000028
425,681,x1.16xlarge, Linux/UNIX,15,19198.424000000014,396,18944.730899999995,396,253.69310000001857
426,672,r4.16xlarge, Windows,6,34006.12560000001,396,33754.2558000002,396,251.86979999981116
427,548,r5a.xlarge, Linux/UNIX,32,646.2198999999998,396,395.251299999998,396,250.96860000000197
428,567,a1.metal, SUSE Linux,7,1241.5055000000002,204,990.6403000000045,204,250.86519999999587
429,694,r3.xlarge, Windows,5,2457.7318,396,2207.869400000005,396,249.86239999999447
430,244,i3en.3xlarge, Red Hat Enterprise Linux,30,4288.8265999999985,324,4040.1395000000307,324,248.68709999996918
431,136,r5n.8xlarge, Windows,11,8833.662799999998,204,8589.127699999986,204,244.53510000001185
432,819,i3en.3xlarge, SUSE Linux,30,4590.6754,359,4351.2215999999735,359,239.45380000002658
433,485,x1e.4xlarge, SUSE Linux,20,10505.396899999996,396,10266.77030000005,396,238.62659999994685
434,784,c5.9xlarge, Windows,12,18985.946200000006,396,18747.828,396,238.11820000000444
435,81,g3.4xlarge, Red Hat Enterprise Linux,46,3850.087599999999,325,3612.306599999992,325,237.78100000000683
436,882,m5ad.large, SUSE Linux,34,1341.3889999999994,396,1110.4938999999972,396,230.8951000000025
437,152,m5.2xlarge, SUSE Linux,45,2200.2645999999995,396,1970.137500000004,396,230.12709999999583
438,817,r3.xlarge, SUSE Linux,31,1661.3694999999998,396,1431.5420000000033,396,229.82749999999646
439,714,c5d.9xlarge, Linux/UNIX,68,3574.239,396,3345.4630999999945,396,228.77590000000558
440,36,r5.8xlarge, Windows,14,13379.1525,309,13153.462699999962,309,225.6898000000383
441,332,i2.8xlarge, Linux/UNIX,12,19586.339,396,19367.640599999868,396,218.6984000001321
442,578,z1d.xlarge, Red Hat Enterprise Linux,16,1523.7119999999989,326,1309.6596999999995,326,214.05229999999915
443,146,m5.large, Red Hat Enterprise Linux,60,828.5832000000003,329,615.5034000000012,329,213.0797999999991
444,216,i3.8xlarge, Windows,11,21104.26239999999,396,20892.87360000005,396,211.3887999999388
445,529,r3.4xlarge, SUSE Linux,43,3124.7599,310,2916.7043999999937,396,208.05550000000585
446,424,m5d.8xlarge, Windows,12,13278.9069,309,13071.346500000072,309,207.5603999999257
447,448,x1e.4xlarge, Linux/UNIX,16,9556.696899999994,396,9349.613699999996,396,207.08319999999733
