,index,Instance, Product/Description, Migrations, SumStartingInstance, DaysStartingInstance, SumMigrations, DaysMigrations, Difference
909,512,c1.medium, Linux/UNIX,7,123.53900000000007,396,122.98699999999936,396,0.552000000000703
910,953,m5n.xlarge, Linux/UNIX,5,194.59580000000008,204,194.06060000000087,204,0.5351999999992358
911,105,t1.micro, SUSE Linux,6,114.04800000000006,396,113.52769999999909,396,0.5203000000009723
912,360,m1.medium, Linux/UNIX,6,82.67609999999995,396,82.17119999999917,396,0.5049000000007737
913,346,t3.nano, Windows,9,58.86280000000001,396,58.480700000000354,396,0.38209999999965305
914,77,t2.micro, Linux/UNIX,14,33.309400000000025,396,32.963499999999925,396,0.3459000000000998
915,159,r5n.large, Linux/UNIX,4,102.04929999999996,204,101.70399999999948,204,0.34530000000049205
916,214,t3.micro, Linux/UNIX,12,29.45930000000001,396,29.151600000000176,396,0.30769999999983
917,368,m1.small, Linux/UNIX,7,41.8132,396,41.65640000000014,396,0.15679999999985486
918,220,t3.nano, Linux/UNIX,7,15.190399999999995,396,15.09839999999991,396,0.09200000000008757
919,108,t1.micro, Linux/UNIX,5,19.008000000000013,396,18.93819999999991,396,0.06980000000010378
920,109,t1.micro, Windows,3,19.008000000000013,396,18.960499999999907,396,0.04750000000010601
921,945,a1.4xlarge, Windows,2,3335.738199999998,162,3335.6914000000065,162,0.046799999990980716
922,943,a1.large, Windows,2,416.2886,162,416.27510000000063,162,0.013499999999339709
923,956,a1.medium, Windows,0,208.7626000000001,162,208.76259999999928,162,0.0
924,946,a1.2xlarge, Windows,0,1666.7299000000005,162,1666.7298999999964,162,0.0
925,947,a1.metal, Windows,0,3343.419499999998,162,3343.419500000007,162,0.0
926,915,a1.xlarge, Windows,0,834.6699000000003,162,834.6698999999983,162,0.0
