InstanceType,ProductDescription,AvailabilityZone,PriceChanges,min,max
t2.medium,Red Hat Enterprise Linux,us-east-1e,0,0.0739,0.0739
t2.medium,Red Hat Enterprise Linux,us-west-1a,0,0.0766,0.0766
t2.medium,Red Hat Enterprise Linux,us-west-1b,0,0.0766,0.0766
t2.medium,Red Hat Enterprise Linux,us-west-1c,0,0.0766,0.0766
d2.xlarge,Windows,us-west-1a,0,0.4183,0.4183
d2.xlarge,Windows,us-west-1b,0,0.4183,0.4183
d2.xlarge,Windows,us-west-1c,0,0.4183,0.4183
m4.large,Red Hat Enterprise Linux,ap-northeast-2c,0,0.09,0.09
m4.large,Red Hat Enterprise Linux,ap-northeast-2a,0,0.09,0.09
t2.medium,SUSE Linux,ap-northeast-1a,0,0.1182,0.1182
d2.xlarge,Windows,us-west-2d,0,0.821,0.821
t2.medium,SUSE Linux,ap-northeast-1c,0,0.1182,0.1182
t2.medium,SUSE Linux,ap-northeast-2a,0,0.1173,0.1173
t2.medium,SUSE Linux,ap-southeast-1a,0,0.1175,0.1175
m4.large,Linux/UNIX,us-west-1b,0,0.0308,0.0308
t2.medium,Red Hat Enterprise Linux,sa-east-1a,0,0.0823,0.0823
m4.large,Linux/UNIX,us-west-1a,0,0.0308,0.0308
m4.large,Red Hat Enterprise Linux,eu-west-2a,0,0.0914,0.0914
d2.xlarge,Windows,eu-west-3c,0,0.4156,0.4156
t2.medium,Red Hat Enterprise Linux,eu-west-3a,0,0.0758,0.0758
d2.xlarge,Windows,ca-central-1a,0,0.4117,0.4117
d2.xlarge,Windows,ca-central-1b,0,0.4117,0.4117
d2.xlarge,Windows,eu-central-1a,0,0.3692,0.3692
d2.xlarge,Windows,eu-central-1b,0,0.3692,0.3692
t2.medium,Red Hat Enterprise Linux,eu-west-3c,0,0.0758,0.0758
d2.xlarge,Windows,eu-north-1a,0,0.3934,0.3934
d2.xlarge,Windows,eu-north-1b,0,0.3934,0.3934
d2.xlarge,Windows,eu-north-1c,0,0.3934,0.3934
d2.xlarge,Windows,eu-west-1a,0,0.3515,0.3515
d2.xlarge,Windows,eu-west-1b,0,0.3515,0.3515
d2.xlarge,Windows,eu-west-1c,0,0.3515,0.3515
d2.xlarge,Windows,eu-west-2a,0,0.4156,0.4156
t3a.large,Red Hat Enterprise Linux,eu-west-1c,0,0.0845,0.0845
t3a.large,Red Hat Enterprise Linux,eu-west-1b,0,0.0845,0.0845
d2.xlarge,Windows,eu-west-3a,0,0.4156,0.4156
d2.xlarge,Windows,eu-west-3b,0,0.4156,0.4156
m4.large,Red Hat Enterprise Linux,eu-west-2b,0,0.0914,0.0914
t2.medium,SUSE Linux,ap-southeast-1c,0,0.1175,0.1175
t2.medium,SUSE Linux,ap-southeast-2a,0,0.1175,0.1175
t2.medium,SUSE Linux,ap-southeast-2b,0,0.1175,0.1175
t2.medium,SUSE Linux,eu-west-2a,0,0.1156,0.1156
t2.medium,SUSE Linux,eu-west-2b,0,0.1156,0.1156
m4.large,Linux/UNIX,ca-central-1b,0,0.0289,0.0289
t2.medium,SUSE Linux,eu-west-2c,0,0.1156,0.1156
t2.medium,SUSE Linux,eu-west-3a,0,0.1158,0.1158
t2.medium,SUSE Linux,eu-west-3b,0,0.1158,0.1158
t2.medium,SUSE Linux,eu-west-3c,0,0.1158,0.1158
t2.medium,SUSE Linux,sa-east-1a,0,0.1223,0.1223
r5.xlarge,Windows,us-west-1c,0,0.2517,0.2517
m4.large,Linux/UNIX,ap-south-1c,0,0.028999999999999998,0.028999999999999998
t2.medium,SUSE Linux,sa-east-1b,0,0.1223,0.1223
f1.2xlarge,Linux/UNIX,eu-west-1a,0,0.5445,0.5445
f1.2xlarge,Linux/UNIX,eu-west-1b,0,0.5445,0.5445
f1.2xlarge,Linux/UNIX,eu-west-1c,0,0.5445,0.5445
m4.large,Linux/UNIX,ap-northeast-2c,0,0.03,0.03
f1.2xlarge,Linux/UNIX,us-east-1b,0,0.495,0.495
m4.large,Linux/UNIX,ap-northeast-2b,0,0.03,0.03
m4.large,Linux/UNIX,eu-west-2a,0,0.0314,0.0314
m4.large,Linux/UNIX,eu-west-2b,0,0.0314,0.0314
f1.16xlarge,SUSE Linux,ap-southeast-2b,0,15.948,15.948
f1.16xlarge,SUSE Linux,ap-southeast-2a,0,15.948,15.948
t2.medium,SUSE Linux,ap-southeast-2c,0,0.1175,0.1175
t2.medium,SUSE Linux,ca-central-1a,0,0.1154,0.1154
t2.medium,SUSE Linux,ca-central-1b,0,0.1154,0.1154
t2.medium,SUSE Linux,eu-central-1a,0,0.1161,0.1161
t2.medium,SUSE Linux,eu-central-1b,0,0.1161,0.1161
f1.16xlarge,Red Hat Enterprise Linux,ap-southeast-2a,0,15.978,15.978
f1.16xlarge,Red Hat Enterprise Linux,ap-southeast-2b,0,15.978,15.978
f1.16xlarge,Red Hat Enterprise Linux,eu-west-1a,0,4.4860000000000015,4.4860000000000015
f1.2xlarge,Linux/UNIX,us-east-1e,0,0.495,0.495
f1.16xlarge,Red Hat Enterprise Linux,eu-west-1b,0,4.4860000000000015,4.4860000000000015
t2.medium,SUSE Linux,eu-central-1c,0,0.1161,0.1161
t2.medium,SUSE Linux,eu-west-1a,0,0.115,0.115
f1.16xlarge,Red Hat Enterprise Linux,us-east-1c,0,4.09,4.09
f1.16xlarge,Red Hat Enterprise Linux,us-east-1d,0,4.09,4.09
f1.16xlarge,Red Hat Enterprise Linux,us-east-1e,0,4.09,4.09
f1.16xlarge,Red Hat Enterprise Linux,us-west-2a,0,4.09,4.09
f1.16xlarge,Red Hat Enterprise Linux,us-west-2b,0,4.09,4.09
f1.16xlarge,Red Hat Enterprise Linux,us-west-2c,0,4.09,4.09
f1.16xlarge,Red Hat Enterprise Linux,eu-west-1c,0,4.4860000000000015,4.4860000000000015
d2.xlarge,Windows,ap-southeast-2b,0,0.392,0.392
g2.2xlarge,Linux/UNIX,us-west-1a,0,0.2106,0.2106
g2.2xlarge,Linux/UNIX,us-west-1c,0,0.2106,0.2106
g2.8xlarge,Red Hat Enterprise Linux,us-east-1e,0,0.91,0.91
g2.8xlarge,Red Hat Enterprise Linux,us-west-1a,0,0.9724,0.9724
g2.8xlarge,Red Hat Enterprise Linux,us-west-1b,0,0.9724,0.9724
g2.8xlarge,Red Hat Enterprise Linux,us-west-1c,0,0.9724,0.9724
g2.8xlarge,Red Hat Enterprise Linux,us-west-2a,0,0.91,0.91
g2.8xlarge,Red Hat Enterprise Linux,us-west-2b,0,0.91,0.91
g2.8xlarge,Red Hat Enterprise Linux,us-west-2c,0,0.91,0.91
g2.8xlarge,SUSE Linux,ap-northeast-1a,0,1.1776,1.1776
g2.8xlarge,SUSE Linux,ap-northeast-1c,0,1.1776,1.1776
g2.8xlarge,SUSE Linux,ap-southeast-1a,0,1.3,1.3
g2.8xlarge,SUSE Linux,ap-southeast-1b,0,1.3,1.3
m4.4xlarge,SUSE Linux,eu-west-2b,0,0.3513,0.3513
t3a.large,Linux/UNIX,ap-southeast-1c,0,0.0283,0.0283
t2.medium,Windows,ap-southeast-2b,0,0.0355,0.0355
g2.8xlarge,SUSE Linux,eu-central-1b,0,1.0264,1.0264
g2.8xlarge,SUSE Linux,eu-west-1a,0,0.9424,0.9424
g2.8xlarge,SUSE Linux,eu-west-1b,0,0.9424,0.9424
g2.8xlarge,Red Hat Enterprise Linux,us-east-1d,0,0.91,0.91
g2.8xlarge,SUSE Linux,eu-west-1c,0,0.9424,0.9424
g2.8xlarge,Red Hat Enterprise Linux,us-east-1c,0,0.91,0.91
g2.8xlarge,Red Hat Enterprise Linux,us-east-1a,0,0.91,0.91
g2.8xlarge,Linux/UNIX,us-west-1a,0,0.8424,0.8424
g2.8xlarge,Linux/UNIX,us-west-1b,0,0.8424,0.8424
g2.8xlarge,Linux/UNIX,us-west-1c,0,0.8424,0.8424
g2.8xlarge,Linux/UNIX,us-west-2a,0,0.78,0.78
g2.8xlarge,Linux/UNIX,us-west-2b,0,0.78,0.78
g2.8xlarge,Linux/UNIX,us-west-2c,0,0.78,0.78
g2.8xlarge,Red Hat Enterprise Linux,ap-northeast-1a,0,1.2076,1.2076
g2.8xlarge,Red Hat Enterprise Linux,ap-northeast-1c,0,1.2076,1.2076
g2.8xlarge,Red Hat Enterprise Linux,ap-southeast-1a,0,1.33,1.33
g2.8xlarge,Red Hat Enterprise Linux,ap-southeast-1b,0,1.33,1.33
g2.8xlarge,Red Hat Enterprise Linux,ap-southeast-2a,0,1.2076,1.2076
g2.8xlarge,Red Hat Enterprise Linux,ap-southeast-2b,0,1.2076,1.2076
m4.4xlarge,SUSE Linux,eu-west-2c,0,0.3513,0.3513
g2.8xlarge,Red Hat Enterprise Linux,eu-central-1b,0,1.0564,1.0564
g2.8xlarge,Red Hat Enterprise Linux,eu-west-1a,0,0.9724,0.9724
g2.8xlarge,Red Hat Enterprise Linux,eu-west-1b,0,0.9724,0.9724
g2.8xlarge,Red Hat Enterprise Linux,eu-west-1c,0,0.9724,0.9724
g2.8xlarge,Red Hat Enterprise Linux,us-east-1b,0,0.91,0.91
g2.8xlarge,SUSE Linux,us-east-1a,0,0.88,0.88
g2.8xlarge,SUSE Linux,us-east-1b,0,0.88,0.88
g2.8xlarge,SUSE Linux,us-east-1c,0,0.88,0.88
g2.8xlarge,Windows,us-east-1d,0,1.058,1.058
g2.8xlarge,Windows,us-east-1e,0,1.058,1.058
g2.8xlarge,Windows,us-west-1a,0,1.1204,1.1204
g2.8xlarge,Windows,us-west-1b,0,1.1204,1.1204
g2.8xlarge,Windows,us-west-1c,0,1.1204,1.1204
g2.8xlarge,Windows,us-west-2a,0,1.058,1.058
g2.8xlarge,Windows,us-west-2b,0,1.058,1.058
g2.8xlarge,Windows,us-west-2c,0,1.058,1.058
t2.medium,Windows,ca-central-1b,0,0.0334,0.0334
t3a.large,Linux/UNIX,ap-southeast-1b,0,0.0283,0.0283
t3a.large,Linux/UNIX,ap-southeast-1a,0,0.0283,0.0283
t2.medium,Windows,eu-central-1a,0,0.0341,0.0341
t2.medium,Windows,eu-central-1b,0,0.0341,0.0341
t2.medium,Windows,eu-central-1c,0,0.0341,0.0341
t2.medium,Windows,eu-west-1a,0,0.033,0.033
m4.4xlarge,SUSE Linux,ap-southeast-1c,0,0.3491,0.3491
t2.medium,Windows,eu-west-1b,0,0.033,0.033
g2.8xlarge,Windows,us-east-1c,0,1.058,1.058
g2.8xlarge,Windows,us-east-1b,0,1.058,1.058
g2.8xlarge,Windows,us-east-1a,0,1.058,1.058
g2.8xlarge,Windows,eu-west-1c,0,1.1204,1.1204
g2.8xlarge,SUSE Linux,us-east-1d,0,0.88,0.88
t2.medium,Windows,ap-southeast-2c,0,0.0355,0.0355
g2.8xlarge,SUSE Linux,us-west-1a,0,0.9424,0.9424
g2.8xlarge,SUSE Linux,us-west-1b,0,0.9424,0.9424
g2.8xlarge,SUSE Linux,us-west-1c,0,0.9424,0.9424
g2.8xlarge,SUSE Linux,us-west-2a,0,0.88,0.88
g2.8xlarge,SUSE Linux,us-west-2b,0,0.88,0.88
g2.8xlarge,SUSE Linux,us-west-2c,0,0.88,0.88
t2.medium,Windows,ap-southeast-2a,0,0.0355,0.0355
g2.8xlarge,Windows,ap-northeast-1a,0,1.3556,1.3556
g2.8xlarge,Windows,ap-southeast-1a,0,1.4780000000000002,1.4780000000000002
g2.8xlarge,Windows,ap-southeast-1b,0,1.4780000000000002,1.4780000000000002
t2.medium,Windows,ca-central-1a,0,0.0334,0.0334
m4.4xlarge,SUSE Linux,eu-central-1c,0,0.3652,0.3652
m4.4xlarge,SUSE Linux,eu-central-1b,0,0.3652,0.3652
g2.8xlarge,Windows,eu-central-1b,0,1.2044,1.2044
g2.8xlarge,Windows,eu-west-1a,0,1.1204,1.1204
g2.8xlarge,Windows,eu-west-1b,0,1.1204,1.1204
g2.8xlarge,Windows,ap-northeast-1c,0,1.3556,1.3556
m4.4xlarge,Windows,ap-southeast-1b,0,0.9851,0.9851
g2.8xlarge,Linux/UNIX,us-east-1d,0,0.78,0.78
g2.8xlarge,Linux/UNIX,us-east-1b,0,0.78,0.78
g2.2xlarge,Red Hat Enterprise Linux,us-west-1c,0,0.3406,0.3406
g2.2xlarge,Red Hat Enterprise Linux,us-west-2a,0,0.325,0.325
g2.2xlarge,Red Hat Enterprise Linux,us-west-2b,0,0.325,0.325
g2.2xlarge,Red Hat Enterprise Linux,us-west-2c,0,0.325,0.325
t3a.large,Linux/UNIX,eu-west-3c,0,0.0255,0.0255
t3a.large,Linux/UNIX,eu-west-3b,0,0.0255,0.0255
g2.2xlarge,SUSE Linux,ap-southeast-1a,0,0.4,0.4
g2.2xlarge,SUSE Linux,ap-southeast-1b,0,0.4,0.4
t3a.large,Linux/UNIX,eu-west-3a,0,0.0255,0.0255
m4.4xlarge,Windows,ap-northeast-1a,0,1.0021,1.0021
t2.medium,SUSE Linux,us-west-1a,0,0.1166,0.1166
g2.2xlarge,SUSE Linux,eu-central-1b,0,0.3316,0.3316
g2.2xlarge,SUSE Linux,eu-west-1a,0,0.3106,0.3106
g2.2xlarge,SUSE Linux,eu-west-1b,0,0.3106,0.3106
t2.medium,SUSE Linux,us-west-1b,0,0.1166,0.1166
t2.medium,SUSE Linux,us-west-1c,0,0.1166,0.1166
r5.xlarge,Windows,us-west-1a,0,0.2517,0.2517
m4.4xlarge,Windows,ap-northeast-1c,0,1.0021,1.0021
t2.medium,Windows,ap-northeast-1a,0,0.0362,0.0362
g2.2xlarge,Red Hat Enterprise Linux,us-west-1a,0,0.3406,0.3406
m4.4xlarge,Windows,ap-northeast-2a,0,0.9757,0.9757
g2.2xlarge,Linux/UNIX,us-west-2a,0,0.195,0.195
g2.2xlarge,Linux/UNIX,us-west-2b,0,0.195,0.195
g2.2xlarge,Linux/UNIX,us-west-2c,0,0.195,0.195
t3a.large,Linux/UNIX,us-west-1a,0,0.0268,0.0268
t3a.large,Linux/UNIX,us-east-2c,0,0.0226,0.0226
g2.2xlarge,Red Hat Enterprise Linux,ap-southeast-1a,0,0.43,0.43
g2.2xlarge,Red Hat Enterprise Linux,ap-southeast-1b,0,0.43,0.43
t3a.large,Linux/UNIX,us-east-2b,0,0.0226,0.0226
t3a.large,Linux/UNIX,us-east-2a,0,0.0226,0.0226
t3a.large,Linux/UNIX,us-east-1f,0,0.0226,0.0226
g2.2xlarge,Red Hat Enterprise Linux,eu-central-1b,0,0.3616,0.3616
g2.2xlarge,Red Hat Enterprise Linux,eu-west-1a,0,0.3406,0.3406
g2.2xlarge,Red Hat Enterprise Linux,eu-west-1b,0,0.3406,0.3406
m4.4xlarge,Windows,ap-southeast-1a,0,0.9851,0.9851
m4.4xlarge,Windows,ap-northeast-2c,0,0.9757,0.9757
m4.4xlarge,Windows,ap-northeast-2b,0,0.9757,0.9757
g2.2xlarge,Red Hat Enterprise Linux,us-east-1c,0,0.325,0.325
m4.4xlarge,Windows,ap-northeast-1d,0,1.0021,1.0021
t3a.large,Linux/UNIX,eu-west-1c,0,0.0245,0.0245
t3a.large,Linux/UNIX,eu-west-1b,0,0.0245,0.0245
g2.2xlarge,SUSE Linux,us-west-1a,0,0.3106,0.3106
g2.2xlarge,Windows,us-west-1b,0,0.3276,0.3276
g2.2xlarge,Windows,us-west-1c,0,0.3276,0.3276
g2.2xlarge,Windows,us-west-2a,0,0.312,0.312
g2.2xlarge,Windows,us-west-2b,0,0.312,0.312
g2.2xlarge,Windows,us-west-2c,0,0.312,0.312
g2.8xlarge,Linux/UNIX,ap-northeast-1a,0,1.0776,1.0776
g2.8xlarge,Linux/UNIX,ap-northeast-1c,0,1.0776,1.0776
g2.8xlarge,Linux/UNIX,ap-southeast-1a,0,1.2,1.2
g2.8xlarge,Linux/UNIX,ap-southeast-1b,0,1.2,1.2
r5.12xlarge,SUSE Linux,ca-central-1d,0,0.9132,0.9132
t3a.large,Linux/UNIX,ap-southeast-2a,0,0.0285,0.0285
m4.4xlarge,SUSE Linux,sa-east-1b,0,0.4263,0.4263
g2.8xlarge,Linux/UNIX,eu-central-1b,0,0.9264,0.9264
g2.8xlarge,Linux/UNIX,eu-west-1a,0,0.8424,0.8424
g2.8xlarge,Linux/UNIX,eu-west-1b,0,0.8424,0.8424
g2.8xlarge,Linux/UNIX,eu-west-1c,0,0.8424,0.8424
g2.8xlarge,Linux/UNIX,us-east-1a,0,0.78,0.78
g2.2xlarge,Windows,us-west-1a,0,0.3276,0.3276
g2.2xlarge,Windows,us-east-1e,0,0.312,0.312
g2.2xlarge,Windows,us-east-1d,0,0.312,0.312
g2.2xlarge,Windows,us-east-1c,0,0.312,0.312
t2.medium,Windows,ap-northeast-1c,0,0.0362,0.0362
g2.2xlarge,SUSE Linux,us-west-1c,0,0.3106,0.3106
g2.2xlarge,SUSE Linux,us-west-2a,0,0.295,0.295
g2.2xlarge,SUSE Linux,us-west-2b,0,0.295,0.295
g2.2xlarge,SUSE Linux,us-west-2c,0,0.295,0.295
t2.medium,Windows,ap-northeast-1d,0,0.0362,0.0362
t2.medium,Windows,ap-northeast-2a,0,0.0353,0.0353
g2.2xlarge,Windows,ap-southeast-1a,0,0.46,0.46
g2.8xlarge,Linux/UNIX,us-east-1c,0,0.78,0.78
g2.2xlarge,Windows,ap-southeast-1b,0,0.46,0.46
t2.medium,Windows,ap-south-1c,0,0.0353,0.0353
g2.2xlarge,Windows,eu-central-1a,0,0.3656,0.3656
g2.2xlarge,Windows,eu-central-1b,0,0.3656,0.3656
t2.medium,Windows,ap-southeast-1a,0,0.0355,0.0355
t2.medium,Windows,ap-southeast-1b,0,0.0355,0.0355
t2.medium,Windows,ap-southeast-1c,0,0.0355,0.0355
g2.2xlarge,Windows,us-east-1a,0,0.312,0.312
g2.2xlarge,Windows,us-east-1b,0,0.312,0.312
t2.medium,Windows,ap-northeast-2c,0,0.0353,0.0353
d2.xlarge,Windows,ap-southeast-2a,0,0.392,0.392
d2.xlarge,Windows,ap-southeast-1c,0,0.392,0.392
d2.xlarge,Windows,ap-southeast-1b,0,0.392,0.392
m4.large,Windows,ap-northeast-1a,0,0.1253,0.1253
d2.8xlarge,SUSE Linux,eu-north-1a,0,1.7752,1.7752
d2.8xlarge,SUSE Linux,eu-north-1b,0,1.7752,1.7752
d2.8xlarge,SUSE Linux,eu-north-1c,0,1.7752,1.7752
d2.8xlarge,SUSE Linux,eu-west-1a,0,1.864,1.864
d2.8xlarge,SUSE Linux,eu-west-1b,0,1.864,1.864
d2.8xlarge,SUSE Linux,eu-west-1c,0,1.864,1.864
t2.medium,Linux/UNIX,eu-west-2b,0,0.0156,0.0156
t2.medium,Linux/UNIX,eu-west-2c,0,0.0156,0.0156
d2.8xlarge,SUSE Linux,eu-west-2c,0,6.274,6.274
d2.8xlarge,SUSE Linux,eu-west-3a,0,1.9528,1.9528
d2.8xlarge,SUSE Linux,eu-west-3b,0,1.9528,1.9528
d2.8xlarge,SUSE Linux,eu-west-3c,0,1.9528,1.9528
d2.8xlarge,SUSE Linux,us-east-1a,0,1.756,1.756
d2.8xlarge,SUSE Linux,us-east-1b,0,1.756,1.756
d2.8xlarge,SUSE Linux,us-east-1c,0,1.756,1.756
d2.8xlarge,SUSE Linux,us-east-1d,0,1.756,1.756
d2.8xlarge,SUSE Linux,eu-central-1b,0,2.0056,2.0056
t2.medium,Linux/UNIX,eu-west-3a,0,0.0158,0.0158
d2.8xlarge,SUSE Linux,eu-central-1a,0,2.0056,2.0056
d2.8xlarge,SUSE Linux,ca-central-1a,0,1.9216,1.9216
d2.8xlarge,Red Hat Enterprise Linux,us-west-2c,0,1.786,1.786
d2.8xlarge,Red Hat Enterprise Linux,us-west-2d,0,5.65,5.65
d2.8xlarge,SUSE Linux,ap-northeast-1a,0,2.1256,2.1256
d2.8xlarge,SUSE Linux,ap-northeast-1c,0,2.1256,2.1256
m4.large,Windows,ap-northeast-2c,0,0.122,0.122
d2.8xlarge,SUSE Linux,ap-northeast-2a,0,2.1256,2.1256
m4.large,Windows,ap-northeast-2b,0,0.122,0.122
d2.8xlarge,SUSE Linux,ap-northeast-2c,0,2.1256,2.1256
d2.8xlarge,SUSE Linux,ap-south-1a,0,2.0836,2.0836
d2.8xlarge,SUSE Linux,ap-south-1b,0,2.0836,2.0836
d2.8xlarge,SUSE Linux,ap-south-1c,0,2.0836,2.0836
m4.large,Windows,ap-northeast-2a,0,0.122,0.122
m4.large,Windows,ap-northeast-1d,0,0.1253,0.1253
d2.8xlarge,SUSE Linux,ap-southeast-1c,0,2.188,2.188
d2.8xlarge,SUSE Linux,ap-southeast-2a,0,2.188,2.188
d2.8xlarge,SUSE Linux,ap-southeast-2b,0,2.188,2.188
m4.large,Windows,ap-northeast-1c,0,0.1253,0.1253
d2.8xlarge,SUSE Linux,ca-central-1b,0,1.9216,1.9216
d2.8xlarge,SUSE Linux,us-east-1f,0,1.756,1.756
d2.8xlarge,SUSE Linux,us-east-2a,0,1.756,1.756
d2.8xlarge,SUSE Linux,us-east-2b,0,1.756,1.756
r4.8xlarge,Red Hat Enterprise Linux,eu-west-3b,0,0.6379,0.6379
d2.8xlarge,Windows,ca-central-1a,0,3.4776,3.4776
d2.8xlarge,Windows,ca-central-1b,0,3.4776,3.4776
d2.8xlarge,Windows,eu-central-1a,0,2.5836,2.5836
d2.8xlarge,Windows,eu-central-1b,0,2.5836,2.5836
t2.medium,Linux/UNIX,us-west-1a,0,0.0166,0.0166
