Instance, Product/Description, Days, MigrationsMin, SumStartingInstance, SumMigrations, Difference
t3.xlarge, Red Hat Enterprise Linux, 308, 15, 1186.2553000000005, 815.7496000000043, 370.5056999999962
t2.small, SUSE Linux, 388, 16, 343.90630000000226, 343.6128000000025, 0.29349999999976717
m4.10xlarge, Red Hat Enterprise Linux, 308, 53, 6735.138500000035, 4006.009400000006, 2729.1291000000288
g4dn.12xlarge, Windows, 203, 0, 16475.155200000034, 16475.155200000034, 0.0
r5.12xlarge, Linux/UNIX, 388, 30, 8656.572300000002, 4770.465900000005, 3886.106399999997
g4dn.16xlarge, Red Hat Enterprise Linux, 203, 0, 6994.243199999974, 6994.243199999974, 0.0
m3.xlarge, SUSE Linux, 388, 4, 1509.0710999999906, 1477.5576999999996, 31.513399999990952
t2.xlarge, Linux/UNIX, 388, 7, 528.5057999999977, 518.6783999999976, 9.827400000000125
m3.xlarge, Windows, 301, 6, 1970.9183000000041, 1813.176200000001, 157.74210000000312
t3.xlarge, SUSE Linux, 388, 16, 1455.0314000000049, 1446.7602000000013, 8.271200000003546
g4dn.12xlarge, Red Hat Enterprise Linux, 203, 2, 6351.247799999993, 6351.139199999992, 0.10860000000047876
m4.10xlarge, SUSE Linux, 387, 27, 7629.5251999999955, 5773.372899999989, 1856.152300000006
g3.16xlarge, Windows, 387, 3, 40049.85599999998, 40049.85599999998, 0.0
t2.micro, Linux/UNIX, 387, 4, 32.56039999999991, 32.5079999999999, 0.052400000000005775
m4.4xlarge, Linux/UNIX, 388, 76, 2841.4548000000004, 1705.7142000000017, 1135.7405999999987
t3a.2xlarge, Windows, 351, 1, 1999.8575999999919, 1887.8975999999927, 111.95999999999913
m4.2xlarge, Windows, 388, 1, 4632.719999999998, 4146.0839999999835, 486.636000000015
g3.4xlarge, Red Hat Enterprise Linux, 304, 40, 3594.3357999999976, 3454.357599999993, 139.97820000000456
g3.4xlarge, Linux/UNIX, 301, 22, 2689.266000000005, 2482.654400000012, 206.6115999999929
g3.16xlarge, Red Hat Enterprise Linux, 304, 10, 15569.664000000072, 10944.671999999986, 4624.992000000086
m4.4xlarge, Red Hat Enterprise Linux, 308, 57, 3279.031199999988, 2337.123300000002, 941.9078999999861
g3.16xlarge, Linux/UNIX, 387, 16, 12740.721200000076, 12705.984000000077, 34.737199999999575
