Instance, Product/Description, Region, Migrations, SumStartingInstance, DaysStartingInstance, SumMigrations, DaysMigrations, Difference
m4.large, Linux/UNIX, ap-northeast-2, 2, 11.879999999999939, 396, 11.880000000000006, 396, -6.750155989720952e-14
m4.large, Linux/UNIX, ap-south-1, 2, 10.974450000000004, 396, 10.97380416666667, 396, 0.0006458333333352329
m4.large, Linux/UNIX, ap-southeast-1, 21, 12.435854166666672, 396, 12.406045833333334, 396, 0.029808333333338766
m4.large, Linux/UNIX, ap-southeast-2, 7, 13.753625000000067, 396, 13.718179166666662, 396, 0.03544583333340512
m4.large, Linux/UNIX, ca-central-1, 16, 11.447325000000045, 396, 11.4444, 396, 0.0029250000000455856
m4.large, Linux/UNIX, eu-central-1, 13, 13.77358416666665, 396, 13.401980000000002, 396, 0.3716041666666481
m4.large, Linux/UNIX, eu-west-1, 6, 13.628612499999956, 396, 13.628612499999996, 396, -3.907985046680551e-14
m4.large, Linux/UNIX, eu-west-2, 0, 12.434399999999915, 396, 12.434399999999997, 396, -8.171241461241152e-14
m4.large, Linux/UNIX, sa-east-1, 0, 15.781386363636418, 396, 15.781386363636358, 396, 6.039613253960852e-14
m4.large, Linux/UNIX, us-east-1, 20, 13.476937499999982, 396, 12.847845833333327, 396, 0.6290916666666551
m4.large, Linux/UNIX, us-east-2, 14, 7.67093728070176, 396, 7.646087280701757, 396, 0.02485000000000337
m4.large, Linux/UNIX, us-west-1, 3, 9.547999999999993, 310, 12.196800000000003, 396, -2.6488000000000103
m4.large, Linux/UNIX, us-west-2, 11, 12.886229166666627, 396, 12.8810875, 396, 0.005141666666627742
r5.xlarge, Windows, ap-northeast-1, 0, 101.85119999999934, 396, 101.85120000000003, 396, -6.963318810448982e-13
r5.xlarge, Windows, ap-northeast-2, 2, 98.96039999999914, 396, 98.96040000000008, 396, -9.379164112033322e-13
r5.xlarge, Windows, ap-south-1, 2, 99.3895999999993, 396, 98.08919999999999, 396, 1.300399999999314
