,index,Instance, Product/Description, Migrations, Days, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
0,570,p2.16xlarge, Red Hat Enterprise Linux,30,323,64933.85280000032,34590.633599999885,0,0,30343.21920000043
1,755,x1.32xlarge, Red Hat Enterprise Linux,1,327,62258.18399999995,32788.1808000002,0,0,29470.00319999975
2,441,x1e.32xlarge, Red Hat Enterprise Linux,7,276,78193.03259999987,53967.90520000012,1,0,24225.127399999765
3,452,x1e.32xlarge, Windows,11,407,162852.24779999908,143800.8216999993,0,0,19051.42609999975
4,446,x1e.32xlarge, Linux/UNIX,11,407,105204.91130000066,86379.20010000031,0,0,18825.71120000037
5,455,x1e.32xlarge, SUSE Linux,11,407,106181.71129999976,87356.00009999973,0,0,18825.711200000038
6,698,x1.16xlarge, Red Hat Enterprise Linux,15,327,31639.212000000152,16901.820000000043,0,0,14737.392000000105
7,775,x1e.16xlarge, Red Hat Enterprise Linux,13,250,35705.41919999992,24830.641600000097,1,0,10874.777599999821
8,546,p3.16xlarge, Red Hat Enterprise Linux,6,140,34792.73860000002,25247.884800000025,1,0,9544.853799999992
9,201,i3.8xlarge, Linux/UNIX,22,407,16609.772100000075,7384.030799999981,0,0,9225.741300000092
10,212,i3.8xlarge, SUSE Linux,21,407,17586.57209999998,8360.830799999922,0,0,9225.741300000058
11,227,i3.16xlarge, Red Hat Enterprise Linux,33,327,21935.835900000075,12900.355200000056,0,0,9035.48070000002
12,574,p2.16xlarge, Windows,1,61,24880.240800000043,16005.842399999981,0,0,8874.398400000064
13,568,p2.16xlarge, SUSE Linux,1,60,19984.896,11358.835199999992,0,0,8626.060800000005
14,583,p2.16xlarge, Linux/UNIX,1,60,19840.896,11214.835200000007,0,0,8626.060799999988
15,119,m5.24xlarge, Red Hat Enterprise Linux,14,327,17154.943200000045,8900.617800000013,0,0,8254.325400000032
16,443,r5.24xlarge, Linux/UNIX,18,407,17576.723200000062,9974.008000000036,0,0,7602.715200000026
17,703,m5ad.12xlarge, Red Hat Enterprise Linux,9,323,12637.35530000006,5317.929899999989,0,0,7319.425400000069
18,470,x1e.8xlarge, Red Hat Enterprise Linux,13,323,23500.96319999994,16537.594000000052,0,0,6963.369199999887
19,0,p3.8xlarge, Red Hat Enterprise Linux,7,199,25012.54759999995,18192.16319999994,1,0,6820.38440000001
20,697,r5a.24xlarge, Windows,9,406,59691.74399999968,52949.07880000047,0,0,6742.66519999921
21,648,r5a.24xlarge, Linux/UNIX,7,406,16663.276500000175,9921.017300000038,0,0,6742.259200000137
22,417,r5.24xlarge, Windows,4,407,59819.920799999636,53093.82999999993,0,0,6726.090799999714
23,118,m5.24xlarge, Linux/UNIX,13,407,16307.685299999961,9695.559899999971,0,0,6612.125399999988
24,97,m5.24xlarge, Windows,1,407,59079.794400000144,52636.970399999984,0,0,6442.8240000001615
25,467,m5d.24xlarge, Windows,2,406,58934.635200000135,52503.87359999998,0,0,6430.761600000157
26,484,m5d.24xlarge, Linux/UNIX,24,406,15926.323499999931,9616.523799999959,0,0,6309.79969999997
27,588,r5ad.12xlarge, Red Hat Enterprise Linux,9,323,11195.431400000063,5164.765999999993,0,0,6030.665400000072
28,729,m5a.24xlarge, Linux/UNIX,9,406,15905.131199999907,9939.291399999893,0,0,5965.839800000016
29,711,m5a.24xlarge, Windows,9,406,58934.635200000135,52975.6921,0,0,5958.943100000141
