,Instance, Product/Description, Region, Migrations, SumStartingInstance, DaysStartingInstance, SumMigrations, DaysMigrations, Difference
12624,r5n.xlarge, Linux/UNIX, us-west-2,3,14.507186904761927,204,14.462695238095234,204,0.04449166666669413
10900,r5n.xlarge, SUSE Linux, us-west-2,3,37.03322857142844,204,36.98873690476189,204,0.04449166666653781
2614,t3.large, SUSE Linux, ap-southeast-2,11,48.9400833333337,396,48.89564583333332,396,0.04443750000037738
8008,c3.xlarge, Linux/UNIX, us-west-1,4,22.15613333333344,396,22.11170833333333,396,0.04442500000010341
8195,c3.xlarge, SUSE Linux, us-west-1,4,61.75613333333314,396,61.711708333333355,396,0.04442499999977656
8185,m5d.xlarge, SUSE Linux, us-east-2,19,25.73296500000001,183,25.688635833333322,183,0.04432916666669229
92,t2.medium, SUSE Linux, us-west-2,5,45.149295833333476,396,45.104991666666706,396,0.04430416666676251
328,t2.medium, Linux/UNIX, us-west-2,5,5.549295833333312,396,5.504991666666667,396,0.044304166666645266
146,t2.medium, Red Hat Enterprise Linux, us-west-2,5,23.545095833333264,318,23.50079166666668,318,0.044304166666581324
7366,r5.2xlarge, Red Hat Enterprise Linux, us-east-2,62,70.85716304347821,319,70.81320054347827,319,0.0439624999999495
3735,i3.large, Linux/UNIX, ap-south-1,2,21.07140000000011,396,21.0276,396,0.04380000000010753
3671,i3.large, Red Hat Enterprise Linux, ap-south-1,2,36.461999999999996,322,36.41820000000001,322,0.043799999999990284
5853,c5.2xlarge, SUSE Linux, us-east-2,37,32.71360000000001,183,32.66984583333334,183,0.0437541666666732
8705,r4.16xlarge, Red Hat Enterprise Linux, eu-central-1,5,401.0286125,323,400.9855833333331,323,0.04302916666682677
8261,r5a.24xlarge, Linux/UNIX, us-east-1,10,677.2029666666675,396,677.1600000000002,396,0.04296666666721194
11286,r5a.24xlarge, SUSE Linux, us-east-1,10,721.0363000000003,396,720.9933333333332,396,0.04296666666687088
2745,r5.metal, Windows, eu-west-2,3,2089.986533333343,344,2089.9436125,344,0.04292083334257768
5301,r5a.2xlarge, Windows, us-east-2,2,178.8765125000013,396,178.8336,396,0.042912500001278886
1657,t3a.nano, Linux/UNIX, us-east-2,64,0.6503291666666693,372,0.6075083333333333,372,0.042820833333335966
4566,r5.xlarge, SUSE Linux, us-east-2,72,28.379120652173906,182,28.336322041062807,182,0.04279861111109895
2169,m4.xlarge, SUSE Linux, sa-east-1,7,70.94025416666679,396,70.89749583333334,396,0.042758333333438266
2302,m4.xlarge, Linux/UNIX, sa-east-1,7,31.340254166666732,396,31.29749583333333,396,0.04275833333340273
2258,m4.xlarge, Red Hat Enterprise Linux, sa-east-1,9,45.60111249999989,329,45.55835416666666,329,0.042758333333239314
11760,t3a.small, SUSE Linux, us-west-2,13,33.46406666666658,372,33.421370833333306,372,0.042695833333269206
11923,t3a.nano, SUSE Linux, us-west-2,42,29.37748750000002,372,29.33504166666665,372,0.042445833333363936
1659,t3a.nano, Linux/UNIX, us-west-2,42,0.6149875000000018,372,0.5725416666666666,372,0.04244583333333518
10082,t3a.nano, Red Hat Enterprise Linux, us-west-2,40,19.619358333333345,318,19.576941666666666,318,0.04241666666667854
10460,m5.xlarge, Linux/UNIX, us-east-1,10,29.025407971014555,396,28.98308804347826,396,0.042319927536297534
8968,m5.xlarge, Red Hat Enterprise Linux, us-east-1,10,43.26962463768113,325,43.22730471014493,325,0.04231992753619807
8924,m5.xlarge, SUSE Linux, us-east-1,10,68.62540797101444,396,68.58308804347826,396,0.042319927536183854
580,m4.16xlarge, Linux/UNIX, ap-northeast-2,2,334.9383666666676,396,334.8961458333333,396,0.042220833334283725
526,m4.16xlarge, Red Hat Enterprise Linux, ap-northeast-2,2,300.3952666666665,317,300.35304583333334,317,0.04222083333309001
9633,c5d.4xlarge, SUSE Linux, us-east-2,26,46.48519015151519,183,46.44325265151514,183,0.041937500000052814
11128,r5ad.16xlarge, Windows, eu-west-1,2,901.4330124999948,213,901.3911000000003,213,0.04191249999473712
1515,t2.2xlarge, SUSE Linux, ap-northeast-1,2,97.4181500000006,396,97.37639999999992,396,0.04175000000067541
1321,t2.2xlarge, Linux/UNIX, ap-northeast-1,2,57.818149999999626,396,57.77640000000003,396,0.041749999999602494
12613,m5dn.2xlarge, SUSE Linux, eu-central-1,3,53.48852083333345,204,53.44685416666668,204,0.04166666666677088
9827,c5d.xlarge, SUSE Linux, ap-southeast-1,11,64.31452500000024,396,64.27302500000002,396,0.04150000000022658
10527,c5d.xlarge, Linux/UNIX, ap-southeast-1,11,24.714525000000094,396,24.673025000000006,396,0.041500000000095134
9783,c5d.xlarge, Red Hat Enterprise Linux, ap-southeast-1,11,39.79122500000005,325,39.74972500000001,325,0.04150000000003473
480,m4.16xlarge, SUSE Linux, ap-northeast-1,6,411.1415958333359,396,411.10035000000016,396,0.04124583333572218
525,m4.16xlarge, Red Hat Enterprise Linux, ap-northeast-1,6,328.6560958333337,317,328.6148500000001,317,0.041245833333618975
579,m4.16xlarge, Linux/UNIX, ap-northeast-1,6,371.541595833332,396,371.50034999999986,396,0.04124583333219789
9837,c5d.xlarge, SUSE Linux, us-east-2,3,25.325591666666732,183,25.284678260869562,183,0.04091340579716984
11008,r5n.16xlarge, SUSE Linux, us-west-2,6,256.1302333333333,204,256.0894625000001,204,0.04077083333322662
12461,r5n.16xlarge, Linux/UNIX, us-west-2,5,231.51981666666612,204,231.4790458333333,204,0.040770833332828715
12496,r5n.16xlarge, Red Hat Enterprise Linux, us-west-2,6,258.03981666666544,204,257.99904583333347,204,0.040770833331976064
12319,m5a.2xlarge, Linux/UNIX, ca-central-1,7,34.853324404762034,287,34.81267023809523,287,0.04065416666680477
9261,m5a.2xlarge, Red Hat Enterprise Linux, ca-central-1,7,72.16332440476174,287,72.12267023809524,287,0.04065416666648503
7408,z1d.xlarge, Linux/UNIX, eu-west-1,9,49.890358333333474,396,49.84994583333334,396,0.040412500000144284
12130,z1d.xlarge, SUSE Linux, eu-west-1,9,91.8070249999997,396,91.7666125,396,0.04041249999967533
2570,m5.12xlarge, Red Hat Enterprise Linux, ap-southeast-2,6,315.5095261363623,316,315.46958863636365,316,0.03993749999858665
11715,r5.large, SUSE Linux, eu-west-2,5,20.6847625,178,20.644895833333333,178,0.03986666666666494
12656,r5n.24xlarge, Windows, eu-west-1,1,1271.4407303571472,204,1271.4009011904766,204,0.039829166670870116
3235,r5.xlarge, Linux/UNIX, us-east-2,106,16.995136403508784,396,16.955338888888882,396,0.03979751461990233
3172,r5.xlarge, Red Hat Enterprise Linux, us-east-2,100,32.81470723684209,318,32.774938888888876,318,0.039768347953206266
4259,m3.xlarge, Red Hat Enterprise Linux, ap-southeast-2,13,39.86316249999978,317,39.823809294871786,317,0.03935320512800189
6283,c5.24xlarge, Windows, ap-southeast-1,2,1879.0723458333441,318,1879.0331416666666,318,0.03920416667756399
3100,r5.metal, Linux/UNIX, ca-central-1,2,525.3429791666667,344,525.303820833333,344,0.039158333333716655
11646,m5a.large, SUSE Linux, eu-west-2,3,20.352133514492746,178,20.31316666666667,178,0.03896684782607096
8402,r5a.24xlarge, Red Hat Enterprise Linux, ap-northeast-1,2,598.0592750000004,317,598.0204999999999,317,0.03877500000055534
5431,r5ad.xlarge, Windows, us-east-1,3,107.8523375000007,396,107.81385,396,0.03848750000069856
1576,m5.16xlarge, Windows, us-west-1,2,1229.0841244565195,309,1229.0457744565215,309,0.03834999999821776
2409,t3a.medium, Red Hat Enterprise Linux, us-west-2,10,22.71157500000007,318,22.6734,318,0.03817500000007002
2550,t3a.medium, Linux/UNIX, us-west-2,12,4.241775000000001,372,4.203600000000002,372,0.038175000000000736
9694,r5a.12xlarge, Windows, eu-west-1,7,1255.8209000000065,396,1255.7827541666666,396,0.038145833339967794
10886,r5a.12xlarge, SUSE Linux, eu-west-1,9,425.24731666666366,396,425.20925,396,0.038066666663723936
3045,r4.xlarge, Red Hat Enterprise Linux, us-east-2,16,38.16744333333336,318,38.12943500000001,318,0.03800833333335163
11775,t3a.medium, SUSE Linux, us-west-2,12,38.29369166666663,372,38.25597499999999,372,0.03771666666663975
3533,r4.xlarge, Linux/UNIX, ap-northeast-1,5,27.713450543478217,396,27.675766666666675,396,0.0376838768115455
3033,r4.xlarge, Red Hat Enterprise Linux, ap-northeast-1,5,41.356850543478174,318,41.31916666666668,318,0.03768387681149221
4483,r4.xlarge, SUSE Linux, ap-northeast-1,5,67.31345054347806,396,67.2757666666667,396,0.037683876811357216
7470,a1.medium, Linux/UNIX, us-west-2,4,4.960458333333364,396,4.922908333333333,396,0.037550000000029726
7533,a1.medium, SUSE Linux, us-west-2,4,38.75008333333329,396,38.71253333333333,396,0.03754999999997466
9826,c5d.xlarge, SUSE Linux, ap-south-1,5,28.79353869047621,182,28.755999999999986,182,0.037538690476228716
11790,g4dn.12xlarge, SUSE Linux, us-west-1,4,341.6836999999995,224,341.6461999999999,224,0.03749999999956799
1314,c5n.9xlarge, Red Hat Enterprise Linux, ca-central-1,2,146.42270833333345,225,146.38546666666662,225,0.037241666666830035
9337,t3a.small, Linux/UNIX, us-west-2,11,2.120441666666676,372,2.0831999999999993,372,0.03724166666667728
9177,t3a.small, Red Hat Enterprise Linux, us-west-2,13,21.0948416666666,321,21.057600000000008,321,0.037241666666588465
1271,c5n.9xlarge, Linux/UNIX, ca-central-1,2,117.17270833333292,225,117.13546666666673,225,0.03724166666619056
3935,g4dn.4xlarge, Windows, ap-south-1,4,223.82037083333302,197,223.7832666666667,197,0.03710416666632455
2368,t2.2xlarge, Windows, ap-southeast-2,4,80.1077875000001,396,80.0712,396,0.036587500000109685
4161,g4dn.16xlarge, Windows, ap-southeast-1,2,939.3479916666687,197,939.3114833333336,197,0.036508333334836614
7182,p3.2xlarge, Windows, ap-southeast-1,2,658.9485249999967,396,658.9121916666667,396,0.03633333333016253
9376,c5d.9xlarge, Windows, eu-west-2,2,879.7502999999974,396,879.7139999999997,396,0.03629999999770917
6483,r5ad.24xlarge, Windows, sa-east-1,8,1261.1272768939402,198,1261.091076893939,198,0.03620000000114487
1915,m5.large, SUSE Linux, sa-east-1,6,57.30616431159426,396,57.26996847826086,396,0.0361958333334016
1931,m5.large, Red Hat Enterprise Linux, sa-east-1,6,34.57594764492757,329,34.5397518115942,329,0.03619583333336607
1883,m5.large, Linux/UNIX, sa-east-1,6,17.70616431159418,396,17.669968478260863,396,0.03619583333331633
3194,t3.large, Linux/UNIX, ap-southeast-2,9,12.546750000000115,396,12.510608333333328,396,0.036141666666789966
2756,t3.large, Red Hat Enterprise Linux, ap-southeast-2,9,28.98674999999991,316,28.95060833333332,316,0.036141666666594574
2168,m4.xlarge, SUSE Linux, eu-west-2,7,29.01432127192986,178,28.978399999999986,178,0.03592127192987249
326,t2.medium, Linux/UNIX, us-east-2,4,5.540762499999964,396,5.504845833333333,396,0.03591666666662974
144,t2.medium, Red Hat Enterprise Linux, us-east-2,4,23.53656249999986,318,23.500645833333344,318,0.03591666666651605
2539,t3a.medium, Linux/UNIX, ap-southeast-1,2,5.318279166666686,372,5.282399999999997,372,0.035879166666689784
2398,t3a.medium, Red Hat Enterprise Linux, ap-southeast-1,2,24.225079166666692,326,24.18920000000001,326,0.03587916666667468
11764,t3a.medium, SUSE Linux, ap-southeast-1,2,39.04798749999998,372,39.01210833333333,372,0.035879166666646256
2595,m5.12xlarge, Linux/UNIX, ap-northeast-2,2,299.0949125000006,396,299.0592000000001,396,0.035712500000613545
2411,m5.12xlarge, SUSE Linux, ap-northeast-2,2,152.26131249999952,178,152.2256,178,0.03571249999953352
2567,m5.12xlarge, Red Hat Enterprise Linux, ap-northeast-2,2,280.6441124999994,317,280.6084,317,0.03571249999936299
9697,r5a.12xlarge, Windows, sa-east-1,7,627.9102363636347,198,627.8746405303029,198,0.035595833331740316
1431,m5.2xlarge, Linux/UNIX, ca-central-1,3,48.10994166666696,396,48.07439999999998,396,0.035541666666979665
2009,m5.2xlarge, SUSE Linux, ca-central-1,3,39.223341666666606,177,39.1878,177,0.03554166666661018
1379,m5.2xlarge, Red Hat Enterprise Linux, ca-central-1,5,79.4779416666665,316,79.44240000000003,316,0.035541666666446765
52,m4.large, Linux/UNIX, ap-southeast-2,7,13.753625000000069,396,13.718179166666662,396,0.03544583333340512
151,m4.large, Red Hat Enterprise Linux, ap-southeast-2,7,29.953624999999896,316,29.91817916666667,316,0.03544583333322748
378,m4.large, SUSE Linux, ap-southeast-2,7,53.353624999999816,396,53.31817916666667,396,0.035445833333149324
11883,g4dn.16xlarge, SUSE Linux, us-west-1,4,377.00252500000136,224,376.9671083333333,224,0.035416666668140806
7155,r5a.large, Linux/UNIX, us-east-2,12,8.339866666666683,396,8.304524999999995,396,0.03534166666668703
7025,r5a.large, Red Hat Enterprise Linux, us-east-2,12,25.789666666666626,318,25.754324999999994,318,0.03534166666662841
5656,c4.xlarge, SUSE Linux, ap-southeast-1,9,63.11820833333382,396,63.08289166666667,396,0.035316666667142727
5630,c4.xlarge, Linux/UNIX, ap-southeast-1,9,23.518208333333426,396,23.48289166666667,396,0.03531666666675903
1608,c5n.9xlarge, Windows, ap-south-1,2,611.9038208333312,281,611.868508333333,281,0.03531249999832653
8937,r3.xlarge, Windows, us-east-2,9,102.40549166666615,396,102.37030833333333,396,0.035183333332810214
484,m4.16xlarge, SUSE Linux, ap-southeast-2,3,424.71286249999946,396,424.677975,396,0.03488749999951324
583,m4.16xlarge, Linux/UNIX, ap-southeast-2,3,385.1128624999963,396,385.0779749999999,396,0.03488749999650054
5139,c5.18xlarge, Linux/UNIX, ap-northeast-1,2,474.2844250000032,396,474.2496000000002,396,0.03482500000291111
5084,c5.18xlarge, Red Hat Enterprise Linux, ap-northeast-1,2,420.8840250000013,317,420.84920000000005,317,0.03482500000126265
5225,c5.18xlarge, SUSE Linux, ap-northeast-1,2,513.8844249999969,396,513.8495999999997,396,0.03482499999722677
