,start,end,instance
67,2020-08-01 00:00:00+00:00,2020-11-09 07:13:26.527779+00:00,a1.xlarge
68,2020-08-01 00:00:00+00:00,2020-11-09 07:14:13.194665+00:00,m4.large
69,2020-08-01 00:00:00+00:00,2020-11-09 07:20:28.924030+00:00,g4dn.xlarge
70,2020-08-01 00:00:00+00:00,2020-11-09 07:25:09.094745+00:00,r5ad.12xlarge
71,2020-08-01 00:00:00+00:00,2020-11-09 07:31:00.578629+00:00,c5d.2xlarge
72,2020-08-01 00:00:00+00:00,2020-11-09 07:43:01.586776+00:00,r5ad.4xlarge
73,2020-08-01 00:00:00+00:00,2020-11-09 07:50:38.704047+00:00,r5ad.2xlarge
74,2020-08-01 00:00:00+00:00,2020-11-09 07:59:04.032643+00:00,a1.4xlarge
75,2020-08-01 00:00:00+00:00,2020-11-09 07:59:46.664167+00:00,m5n.8xlarge
76,2020-08-01 00:00:00+00:00,2020-11-09 08:04:31.818082+00:00,t3.medium
77,2020-08-01 00:00:00+00:00,2020-11-09 08:09:32.858664+00:00,c5d.large
78,2020-08-01 00:00:00+00:00,2020-11-09 08:14:24.801807+00:00,f1.4xlarge
79,2020-08-01 00:00:00+00:00,2020-11-09 08:14:48.642579+00:00,c5.18xlarge
80,2020-08-01 00:00:00+00:00,2020-11-09 08:28:07.968995+00:00,t2.micro
81,2020-08-01 00:00:00+00:00,2020-11-09 08:32:52.472130+00:00,g4dn.2xlarge
82,2020-08-01 00:00:00+00:00,2020-11-09 08:36:50.790651+00:00,r5dn.24xlarge
83,2020-08-01 00:00:00+00:00,2020-11-09 08:39:39.292617+00:00,m3.large
84,2020-08-01 00:00:00+00:00,2020-11-09 08:40:52.477265+00:00,inf1.6xlarge
85,2020-08-01 00:00:00+00:00,2020-11-09 08:42:03.863581+00:00,m2.4xlarge
86,2020-08-01 00:00:00+00:00,2020-11-09 08:43:40.173742+00:00,m5dn.xlarge
87,2020-08-01 00:00:00+00:00,2020-11-09 08:47:42.705611+00:00,m5a.24xlarge
88,2020-08-01 00:00:00+00:00,2020-11-09 08:54:38.138535+00:00,m5ad.16xlarge
89,2020-08-01 00:00:00+00:00,2020-11-09 08:58:02.930274+00:00,inf1.2xlarge
90,2020-08-01 00:00:00+00:00,2020-11-09 08:59:04.455782+00:00,h1.16xlarge
91,2020-08-01 00:00:00+00:00,2020-11-09 08:59:39.751819+00:00,r5ad.large
92,2020-08-01 00:00:00+00:00,2020-11-09 09:03:54.748365+00:00,i3en.12xlarge
93,2020-08-01 00:00:00+00:00,2020-11-09 09:11:32.725329+00:00,i2.xlarge
94,2020-08-01 00:00:00+00:00,2020-11-09 09:13:12.076180+00:00,x1e.2xlarge
95,2020-08-01 00:00:00+00:00,2020-11-09 09:14:56.005796+00:00,f1.2xlarge
96,2020-08-01 00:00:00+00:00,2020-11-09 09:15:22.763711+00:00,inf1.24xlarge
97,2020-08-01 00:00:00+00:00,2020-11-09 09:16:30.597026+00:00,t3a.2xlarge
98,2020-08-01 00:00:00+00:00,2020-11-09 09:20:17.991781+00:00,r5d.large
99,2020-08-01 00:00:00+00:00,2020-11-09 09:26:58.196650+00:00,m5ad.24xlarge
100,2020-08-01 00:00:00+00:00,2020-11-09 09:32:57.527573+00:00,i3en.3xlarge
101,2020-08-01 00:00:00+00:00,2020-11-09 09:39:13.191218+00:00,t3a.nano
102,2020-08-01 00:00:00+00:00,2020-11-09 09:43:10.787059+00:00,p2.16xlarge
103,2020-08-01 00:00:00+00:00,2020-11-09 09:44:42.999925+00:00,a1.2xlarge
104,2020-08-01 00:00:00+00:00,2020-11-09 09:45:57.704991+00:00,c3.large
105,2020-08-01 00:00:00+00:00,2020-11-09 09:47:35.915081+00:00,m5dn.large
106,2020-08-01 00:00:00+00:00,2020-11-09 09:50:22.550440+00:00,t3.large
107,2020-08-01 00:00:00+00:00,2020-11-09 09:58:43.280528+00:00,m1.large
108,2020-08-01 00:00:00+00:00,2020-11-09 09:59:57.080505+00:00,z1d.6xlarge
109,2020-08-01 00:00:00+00:00,2020-11-09 10:03:56.149595+00:00,g3.4xlarge
110,2020-08-01 00:00:00+00:00,2020-11-09 10:06:25.918952+00:00,x1e.4xlarge
111,2020-08-01 00:00:00+00:00,2020-11-09 10:08:38.677696+00:00,h1.8xlarge
112,2020-08-01 00:00:00+00:00,2020-11-09 10:09:45.928737+00:00,m5n.12xlarge
113,2020-08-01 00:00:00+00:00,2020-11-09 10:13:21.815250+00:00,m5dn.16xlarge
114,2020-08-01 00:00:00+00:00,2020-11-09 10:16:26.876784+00:00,x1.32xlarge
115,2020-08-01 00:00:00+00:00,2020-11-09 10:19:39.936271+00:00,z1d.large
116,2020-08-01 00:00:00+00:00,2020-11-09 10:23:23.911340+00:00,t3.micro
117,2020-08-01 00:00:00+00:00,2020-11-09 10:28:44.496404+00:00,m2.xlarge
118,2020-08-01 00:00:00+00:00,2020-11-09 10:30:09.541970+00:00,r5ad.8xlarge
119,2020-08-01 00:00:00+00:00,2020-11-09 10:34:15.288207+00:00,c5d.18xlarge
120,2020-08-01 00:00:00+00:00,2020-11-09 10:48:29.972124+00:00,m5n.16xlarge
121,2020-08-01 00:00:00+00:00,2020-11-09 10:52:10.802258+00:00,r5dn.8xlarge
122,2020-08-01 00:00:00+00:00,2020-11-09 10:56:24.431065+00:00,r5dn.12xlarge
123,2020-08-01 00:00:00+00:00,2020-11-09 10:59:04.440644+00:00,m3.xlarge
124,2020-08-01 00:00:00+00:00,2020-11-09 11:00:23.809357+00:00,c5d.12xlarge
125,2020-08-01 00:00:00+00:00,2020-11-09 11:10:09.969975+00:00,i2.2xlarge
126,2020-08-01 00:00:00+00:00,2020-11-09 11:12:03.350470+00:00,r5n.8xlarge
127,2020-08-01 00:00:00+00:00,2020-11-09 11:16:57.396804+00:00,r5ad.16xlarge
128,2020-08-01 00:00:00+00:00,2020-11-09 11:20:01.929487+00:00,t3.2xlarge
129,2020-08-01 00:00:00+00:00,2020-11-09 11:28:32.719089+00:00,r5ad.24xlarge
130,2020-08-01 00:00:00+00:00,2020-11-09 11:34:50.099147+00:00,a1.medium
131,2020-08-01 00:00:00+00:00,2020-11-09 11:35:47.156691+00:00,m2.2xlarge
132,2020-08-01 00:00:00+00:00,2020-11-09 11:36:55.734203+00:00,r5n.16xlarge
133,2020-08-01 00:00:00+00:00,2020-11-09 11:40:23.195244+00:00,p2.8xlarge
134,2020-08-01 00:00:00+00:00,2020-11-09 11:42:55.759973+00:00,m3.medium
135,2020-08-01 00:00:00+00:00,2020-11-09 11:44:32.778386+00:00,f1.16xlarge
136,2020-08-01 00:00:00+00:00,2020-11-09 11:45:04.471528+00:00,i2.4xlarge
